fingerprint,card_count,example_card_id,signal_id,direction,variables,expression,qualitative_excerpt
d094e7b87a47b336,1,agriculture__water_scarcity__drought__004,sig_04,confirms,"precipitation_mm, seasonal_precipitation_mm","mean_annual_precipitation_mm < 400 and seasonal_precipitation_mm[-1].get('kharif', 999) < (0.75 * (sum(v.get('kharif', 0) for v in list(seasonal_precipitation_mm.values())[:-1]) / max(len(seasonal_precipitation_mm) - 1, 1)))",Mean annual precipitation below 400 mm (AER-2 threshold) and current kharif seasonal rainfall more than 25% below the multi-year kharif mean confirm a below-normal monsoon year in 
34f7c466fc28ba9e,1,agriculture__water_scarcity__drought__004,sig_05,amplifies,monsoon_onset_date,monsoon_onset_date[-1] > monsoon_onset_date[0] and (monsoon_onset_date[-1] - monsoon_onset_date[0]).days > 10,"Monsoon onset in the latest year is more than 10 days later than the earliest year in the record, indicating a trend toward delayed onset that shortens the effective kharif growing"
ab63d07d7ae8a592,3,agriculture__water_scarcity__drought__005,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 3 or (drought_weeks_severe[-1] >= 1 and drought_weeks_moderate[-1] >= 4),"Three or more severe drought weeks in the latest kharif season, or a combination of at least one severe week and four or more moderate weeks, indicates persistent crop-season water"
31128592f5b193bd,1,agriculture__water_scarcity__drought__005,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 4,Four or more dry spell weeks (4-week moving window with <50% historical rainfall) in the latest kharif season indicate prolonged moisture stress during critical crop growth stages.
e98be56d28b1309b,1,agriculture__water_scarcity__drought__005,sig_03,confirms,drought_causality,drought_mild_spi_score_latest >= 26 and (drought_mild_mai_score_latest >= 26 or drought_mild_vci_score_latest >= 26),SPI at or below -1.0 (moderate to severe meteorological drought) combined with MAI below 0.5 (soil moisture inadequacy) or VCI below 40 (vegetation stress) confirms co-occurring me
e22bdefcd41de8f4,1,agriculture__water_scarcity__drought__005,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","mean_annual_precipitation_mm < 950 or (seasonal_precipitation_mm[-1].get('kharif', 9999) < 700) or (trend_annual_precipitation_mm < -10 and mean_annual_precipitation_mm < 1100)","Mean annual precipitation below 950 mm, or kharif seasonal precipitation below 700 mm in the latest year, or a declining trend exceeding 10 mm/year with mean below 1100 mm, indicat"
011b94be64f9dba5,1,agriculture__water_scarcity__drought__005,sig_05,amplifies,monsoon_onset_date,monsoon_onset_date[-1] > monsoon_onset_date[0] + 7,"Monsoon onset in the latest year is more than 7 days later than the earliest year in the record, indicating a trend toward delayed onset that shortens the effective kharif growing "
174ba11e42a320a2,1,agriculture__water_scarcity__drought__006,sig_03,confirms,drought_causality,drought_mild_spi_score_latest >= 26 and (drought_mild_mai_score_latest >= 26 or drought_mild_vci_score_latest >= 26),SPI below -1.0 (moderate to severe meteorological drought) co-occurring with MAI below 0.75 (soil moisture inadequacy) or VCI below 40 (vegetation stress) confirms both meteorologi
56d32d68017ecc24,1,agriculture__water_scarcity__drought__006,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","mean_annual_precipitation_mm < 1000 or (seasonal_precipitation_mm[-1].get('kharif', 9999) < 0.65 * (sum(v.get('kharif', 0) for v in seasonal_precipitation_mm.values()) / max(len(seasonal_precipitation_mm), 1)))",Mean annual precipitation below 1000 mm (lower bound of AER-18 normal range of 900–1400 mm) or current kharif seasonal rainfall below 65% of the long-term kharif mean indicates a b
25fcfe85ec2432af,1,agriculture__water_scarcity__drought__006,sig_05,amplifies,monsoon_onset_date,monsoon_onset_date[-1] > monsoon_onset_date[0] + 7,"Monsoon onset in the latest year is more than 7 days later than the earliest recorded onset in the dataset, indicating a trend toward delayed monsoon arrival that shortens the effe"
2f0e2e5a64e7acb7,1,agriculture__water_scarcity__drought__007,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 3 or (drought_weeks_severe[-1] >= 1 and drought_weeks_moderate[-1] >= 4),"Three or more severe drought weeks in the latest kharif season, or a combination of at least one severe week and four or more moderate weeks, indicates a drought episode sufficient"
b182afd721a65ce9,1,agriculture__water_scarcity__drought__007,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 4,Four or more dry spell weeks (4-week moving window with less than 50% historical rainfall) in the latest kharif season indicate prolonged moisture deficit disrupting crop growth st
debf88897fbec341,1,agriculture__water_scarcity__drought__007,sig_03,confirms,drought_causality,drought_mild_spi_score_latest >= 26 and (drought_mild_mai_score_latest >= 26 or drought_mild_vci_score_latest >= 26),SPI at or below -1.0 (moderate to severe meteorological drought) combined with MAI below 0.5 (soil moisture inadequacy) or VCI below 0.35 (significant vegetation stress) confirms c
3540208105fcbd1c,1,agriculture__water_scarcity__drought__007,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","(seasonal_precipitation_mm[-1].get('kharif', 9999) < 0.75 * mean_annual_precipitation_mm * 0.85) or (mean_annual_precipitation_mm < 1000 and trend_annual_precipitation_mm < -10)","Kharif seasonal precipitation below 75% of the long-run kharif normal, or mean annual precipitation below 1000 mm with a declining trend exceeding 10 mm/year, confirms a rainfall d"
4f9743e470e4c5f0,1,agriculture__water_scarcity__drought__007,sig_05,amplifies,monsoon_onset_date,(monsoon_onset_date[-1] - monsoon_onset_date[0]) > 7 or monsoon_onset_date[-1] > 175,"Monsoon onset delayed by more than 7 days relative to the earliest year in the record, or onset occurring after day 175 (approximately June 24), shortens the effective kharif growi"
50408f953631c163,1,agriculture__water_scarcity__drought__008,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 3 or (drought_weeks_severe[-1] >= 1 and drought_weeks_moderate[-1] >= 4),"Three or more severe drought weeks in the latest kharif season, or at least one severe week combined with four or more moderate drought weeks, indicates a drought episode sufficien"
339be454da631aff,1,agriculture__water_scarcity__drought__008,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 4,Four or more dry spell weeks (4-week moving window with less than 50% of historical rainfall) in the latest kharif season indicate prolonged moisture deficit disrupting critical cr
3e8a12ccc4e97a6d,1,agriculture__water_scarcity__drought__008,sig_03,confirms,drought_causality,(drought_mild_spi_score_latest >= 26 or drought_severe_moderate_spi_score_latest >= 26) and (drought_mild_mai_score_latest >= 26 or drought_severe_moderate_path_score_latest >= 2) and drought_mild_vci_score_latest >= 26,"Concurrent meteorological drought (SPI moderate or worse), inadequate soil moisture (MAI inadequate or highly inadequate), and vegetation stress (VCI below 35) together confirm agr"
75ccbd7be94ad114,1,agriculture__water_scarcity__drought__008,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","(seasonal_precipitation_mm[-1].get('kharif', 0) < 0.75 * mean_annual_precipitation_mm) or (mean_annual_precipitation_mm < 900 and trend_annual_precipitation_mm < -10)","Kharif seasonal rainfall below 75% of the long-term annual mean, or a declining multi-year precipitation trend below 900 mm/year, confirms meteorological drought as the primary dri"
e81087a47ee3738d,1,agriculture__water_scarcity__drought__008,sig_05,amplifies,monsoon_onset_date,(monsoon_onset_date[-1] - monsoon_onset_date[0]).days > 10 or (monsoon_onset_date[-1] - monsoon_onset_date[-3]).days > 7,"Monsoon onset delayed by more than 10 days compared to the earliest year in the record, or by more than 7 days compared to three years prior, shortens the effective kharif growing "
8179c136cce5716f,1,agriculture__water_scarcity__drought__009,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 3 or drought_weeks_moderate[-1] >= 6,"Three or more severe drought weeks, or six or more moderate drought weeks in the most recent kharif season, indicate persistent crop-season water deficit sufficient to cause yield "
fc2b2e5ee3c97c27,1,agriculture__water_scarcity__drought__009,sig_02,confirms,drought_causality,(drought_mild_spi_score_latest >= 26 or drought_severe_moderate_spi_score_latest >= 26) and drought_mild_vci_score_latest >= 26,"SPI classification of moderate or worse drought combined with VCI below 35 confirms both meteorological and agricultural drought are co-occurring, ruling out irrigation-buffered sc"
66afda09fc4f7412,1,agriculture__water_scarcity__drought__009,sig_03,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 4,Four or more dry spell weeks (4-week moving window with less than 50% historical rainfall) in the most recent kharif season indicate prolonged intra-seasonal moisture gaps that dis
60f2ab2b417b407c,1,agriculture__water_scarcity__drought__009,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","seasonal_precipitation_mm[-1].get('kharif', 9999) < 0.75 * mean_annual_precipitation_mm or mean_annual_precipitation_mm < 1200","Kharif seasonal rainfall in the most recent year below 75% of the long-term annual mean, or mean annual precipitation below 1200 mm, indicates a below-normal rainfall year consiste"
77bb033c6497e6c0,1,agriculture__water_scarcity__drought__009,sig_05,amplifies,monsoon_onset_date,drought_severe_return_period <= 4 or drought_moderate_return_period <= 2,"Severe drought returning on average every 4 years or fewer, or moderate drought every 2 years or fewer, indicates a structurally drought-prone cropping environment rather than an i"
ff41e9666f3bafb3,1,agriculture__water_scarcity__drought__010,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 3 or drought_weeks_moderate[-1] >= 6,"Three or more severe drought weeks, or six or more moderate drought weeks, in the most recent kharif season indicate a drought episode sufficient to cause significant crop water st"
3bee1a6e900e06ed,1,agriculture__water_scarcity__drought__010,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 4,Four or more dry spell weeks (4-week moving window with <50% historical rainfall) in the most recent kharif season indicate a prolonged moisture deficit disrupting crop growth stag
f5c5c90ba559c717,1,agriculture__water_scarcity__drought__010,sig_03,confirms,drought_causality,drought_causality is not None and (drought_mild_spi_score_latest >= 26 or drought_severe_moderate_spi_score_latest >= 26) and drought_mild_vci_score_latest >= 26,"SPI classification of moderate drought or worse, combined with VCI below 35 (indicating significant vegetation stress), jointly confirm both meteorological and agricultural drought"
240aba8a8221c30a,1,agriculture__water_scarcity__drought__010,sig_04,confirms,"monsoon_onset_date, seasonal_precipitation_mm","monsoon_onset_date[-1] > monsoon_onset_date[0] and seasonal_precipitation_mm[-1].get('kharif', 9999) < 0.80 * (sum(v.get('kharif', 0) for v in seasonal_precipitation_mm.values()) / len(seasonal_precipitation_mm))","Monsoon onset is later than the earliest year on record AND kharif seasonal precipitation in the most recent year is below 80% of the multi-year mean, jointly indicating a delayed "
3c2bc1a02e97c41d,1,agriculture__water_scarcity__drought__010,sig_05,amplifies,precipitation_mm,trend_annual_precipitation_mm < -10 and mean_annual_precipitation_mm < 1800,A declining trend in annual precipitation of more than 10 mm/year combined with a long-term mean below 1800 mm suggests the zone is transitioning toward the lower boundary of the h
dd8afa91c1d8c212,1,agriculture__water_scarcity__drought__011,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 3 or drought_weeks_moderate[-1] >= 5,"Three or more severe drought weeks, or five or more moderate drought weeks in the most recent kharif season, indicate persistent crop-season water deficit sufficient to cause yield"
e6a8324ce8690f85,1,agriculture__water_scarcity__drought__011,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 4,Four or more dry spell weeks (4-week moving window with <50% historical rainfall) in the most recent kharif season indicate prolonged moisture stress during critical crop growth st
4d958143672d9f82,1,agriculture__water_scarcity__drought__011,sig_03,confirms,drought_causality,(drought_mild_spi_score_latest >= 26 or drought_severe_moderate_spi_score_latest >= 26) and (drought_mild_mai_score_latest >= 26 or drought_severe_moderate_path_score_latest >= 2) and drought_mild_vci_score_latest >= 26,"Concurrent meteorological drought (SPI), soil moisture inadequacy (MAI), and vegetation stress (VCI < 35) confirm agricultural drought as per India Drought Manual classification."
5bcad26ce70800c2,1,agriculture__water_scarcity__drought__011,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","trend_annual_precipitation_mm < -5 and (seasonal_precipitation_mm[-1].get('kharif', 9999) < 0.75 * mean_annual_precipitation_mm * 0.8)",A declining multi-year precipitation trend (>5 mm/year reduction) combined with a below-normal kharif season rainfall (less than 75% of expected kharif share) confirms a structural
d50da63cf4f5d1af,1,agriculture__water_scarcity__drought__011,sig_05,amplifies,monsoon_onset_date,monsoon_onset_date[-1] > monsoon_onset_date[0] and (monsoon_onset_date[-1] - monsoon_onset_date[0]) > 7,"Monsoon onset in the most recent year is more than 7 days later than the earliest year in the record, indicating a systematic delay that shortens the effective kharif growing seaso"
a69cdead9f78b409,2,agriculture__water_scarcity__drought__012,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 2 or drought_weeks_moderate[-1] >= 4,"Two or more severe drought weeks, or four or more moderate drought weeks in the latest kharif season, indicate meaningful crop-season water deficit even in a perhumid zone."
e227ade69fa8f889,1,agriculture__water_scarcity__drought__012,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 3,Three or more dry spell weeks (4-week moving window with <50% historical rainfall) in the latest kharif season indicate prolonged moisture stress periods that disrupt crop growth s
a40cc59a182d1728,1,agriculture__water_scarcity__drought__012,sig_03,confirms,drought_causality,drought_mild_spi_score_latest >= 26 or drought_mild_mai_score_latest >= 26 or drought_mild_vci_score_latest >= 26,"SPI below -1.0 (moderate meteorological drought), MAI below 0.5 (soil moisture inadequacy), or VCI below 40 (moderate vegetation stress) in kharif season confirms drought causality"
84b2beca411428da,1,agriculture__water_scarcity__drought__012,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","seasonal_precipitation_mm[-1].get('kharif', 9999) < 0.75 * mean_annual_precipitation_mm or (mean_annual_precipitation_mm < 1800 and trend_annual_precipitation_mm < -20)","Kharif seasonal precipitation below 75% of the long-run annual mean, or a declining precipitation trend exceeding 20mm/year combined with mean annual rainfall below 1800mm, signals"
425cd07e1fbcd3aa,1,agriculture__water_scarcity__drought__012,sig_05,amplifies,monsoon_onset_date,monsoon_onset_date[-1] > monsoon_onset_date[0] + 7,"Monsoon onset in the latest year is more than 7 days later than the earliest year in the record, indicating a systematic delay that shortens the effective kharif growing season."
f256a3d683d33b0b,1,agriculture__water_scarcity__drought__013,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 3,Three or more dry spell weeks (4-week moving window with <50% historical rainfall) in the latest kharif season indicate prolonged moisture stress capable of disrupting crop growth 
3403171d3962bd63,1,agriculture__water_scarcity__drought__013,sig_03,confirms,drought_causality,(drought_mild_spi_score_latest >= 26 or drought_severe_moderate_spi_score_latest >= 26) or drought_mild_vci_score_latest >= 26 or drought_mild_mai_score_latest >= 26,"SPI indicating moderately dry or worse, VCI below 35, or MAI below 0.5 together confirm meteorological and agricultural drought co-occurrence per the India Drought Manual classific"
8446c25883865520,1,agriculture__water_scarcity__drought__013,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","trend_annual_precipitation_mm < -30 or (seasonal_precipitation_mm[-1].get('kharif', 9999) < 0.75 * mean_annual_precipitation_mm)","A declining trend in annual precipitation exceeding 30 mm/year, or a kharif seasonal total below 75% of the long-term mean annual precipitation, confirms a below-normal rainfall ye"
47b514f72e545ce0,1,agriculture__water_scarcity__drought__013,sig_05,amplifies,monsoon_onset_date,monsoon_onset_date[-1] > monsoon_onset_date[0] + 7,"Monsoon onset in the latest year is more than 7 days later than the earliest year in the record, indicating a delayed onset trend that shortens the effective kharif season."
64624a2ded2e5e4b,1,agriculture__water_scarcity__drought__014,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 4,Four or more dry spell weeks (4-week moving window with <50% historical rainfall) in the latest kharif season indicate prolonged rainfall gaps that disrupt critical crop growth sta
d1f1e240ff2a8614,1,agriculture__water_scarcity__drought__014,sig_03,confirms,"precipitation_mm, seasonal_precipitation_mm",mean_annual_precipitation_mm < 600 and seasonal_precipitation_mm[-1]['kharif'] < (0.75 * mean_annual_precipitation_mm),Long-run mean annual precipitation below 600 mm combined with a kharif season receiving less than 75% of the long-run annual mean confirms a below-normal monsoon year in an already
e82ba5e6cee61bd1,1,agriculture__water_scarcity__drought__014,sig_04,amplifies,monsoon_onset_date,monsoon_onset_date[-1] > monsoon_onset_date[0] and (monsoon_onset_date[-1] - monsoon_onset_date[0]) > 7,"Monsoon onset in the latest year is more than 7 days later than the earliest year in the record, indicating a trend toward delayed onset that shortens the effective kharif growing "
59624499e071aa36,1,agriculture__water_scarcity__drought__014,sig_05,confirms,drought_causality,(drought_mild_spi_score_latest >= 26 or drought_severe_moderate_spi_score_latest >= 26) and drought_mild_vci_score_latest >= 26,"SPI classification of moderate drought or worse combined with VCI below 35 confirms co-occurrence of meteorological and agricultural drought, ruling out irrigation-buffered scenari"
fdd83887fc4c5271,1,agriculture__water_scarcity__drought__015,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 2 or drought_weeks_moderate[-1] >= 4,"Two or more severe drought weeks, or four or more moderate drought weeks in the latest kharif season, indicate meaningful crop-season water deficit even in a normally humid zone."
4f0c4415285d15ec,1,agriculture__water_scarcity__drought__015,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 3,Three or more dry spell weeks (4-week moving window with <50% historical rainfall) in the latest kharif season indicate a prolonged intra-seasonal break that disrupts crop water su
5276c6f4c9fa9b7e,1,agriculture__water_scarcity__drought__015,sig_03,confirms,drought_causality,drought_mild_spi_score_latest >= 26 or drought_mild_mai_score_latest >= 26 or drought_mild_vci_score_latest >= 26,"SPI below -1.0 (moderate meteorological drought), MAI below 0.5 (soil moisture inadequacy), or VCI below 35 (significant vegetation stress) in kharif season confirms drought causal"
c3058db2b1ab7088,1,agriculture__water_scarcity__drought__015,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","(seasonal_precipitation_mm[-1].get('kharif', 9999) < 0.75 * mean_annual_precipitation_mm * 0.85) or (trend_annual_precipitation_mm < -20)","Kharif seasonal precipitation in the latest year below 75% of the long-run kharif normal, or a declining trend in annual precipitation exceeding 20 mm/year, confirms a structural r"
6df97d074296f165,1,agriculture__water_scarcity__drought__015,sig_05,amplifies,monsoon_onset_date,monsoon_onset_date[-1] > monsoon_onset_date[0],"Monsoon onset in the latest year is later than in the earliest year of the record, indicating a trend toward delayed onset that shortens the effective kharif growing season."
407cf2f0bb0018b3,1,agriculture__water_scarcity__drought__016,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 3 or (drought_weeks_severe[-1] >= 1 and drought_weeks_moderate[-1] >= 4),
441f83d52f51f1ae,1,agriculture__water_scarcity__drought__016,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 4,
133583e661d34277,1,agriculture__water_scarcity__drought__016,sig_03,confirms,"precipitation_mm, seasonal_precipitation_mm","mean_annual_precipitation_mm < 150 and (trend_annual_precipitation_mm < -2) and (seasonal_precipitation_mm[-1].get('kharif', 0) < 0.6 * (sum(v.get('kharif', 0) for v in list(seasonal_precipitation_mm.values())[:-1]) / max(len(seasonal_precipitation_mm) - 1, 1)))","Mean annual precipitation is below 150 mm (arid threshold for Ladakh), the long-term trend is declining, and the most recent kharif seasonal total is below 60% of the multi-year kh"
5da8c31b4e876e8d,1,agriculture__water_scarcity__drought__016,sig_04,amplifies,monsoon_onset_date,monsoon_onset_date[-1] > monsoon_onset_date[0],"Monsoon onset date in the most recent year is later than the earliest year in the record, indicating a trend toward delayed onset that shortens the effective kharif season."
3ecbf919d7fb1206,1,agriculture__water_scarcity__drought__016,sig_05,confirms,drought_causality,(drought_mild_spi_score_latest >= 26 or drought_severe_moderate_spi_score_latest >= 26) and drought_mild_vci_score_latest >= 26,"SPI classification indicates at least moderate meteorological drought AND VCI below 35 confirms concurrent vegetation stress, together satisfying the India Drought Manual composite"
97906ad957b5cc6e,1,agriculture__water_scarcity__drought__017,sig_01,confirms,"drought_weeks_severe, drought_weeks_moderate",drought_weeks_severe[-1] >= 3 or drought_weeks_moderate[-1] >= 6,"Three or more severe drought weeks, or six or more moderate drought weeks in the latest kharif season, indicate significant meteorological drought stress even in a normally humid i"
5fb1126fd555e14c,1,agriculture__water_scarcity__drought__017,sig_02,confirms,dry_spell_weeks,dry_spell_weeks[-1] >= 4,Four or more dry spell weeks (4-week moving window with <50% historical rainfall) in the latest kharif season indicate a prolonged moisture deficit disrupting critical crop growth 
43d9236f8d8125aa,1,agriculture__water_scarcity__drought__017,sig_03,confirms,drought_causality,(drought_mild_spi_score_latest >= 26 or drought_severe_moderate_spi_score_latest >= 26) and (drought_mild_mai_score_latest >= 26 or drought_severe_moderate_path_score_latest >= 2) and drought_mild_vci_score_latest >= 26,"Concurrent SPI indicating dry conditions, low MAI indicating soil moisture deficit, and VCI below 40 indicating vegetation stress together confirm meteorological drought has transl"
9a69892d6cb40924,1,agriculture__water_scarcity__drought__017,sig_04,confirms,"seasonal_precipitation_mm, precipitation_mm","mean_annual_precipitation_mm < 1600 or (seasonal_precipitation_mm[-1].get('kharif', 9999) < 0.6 * (sum(v.get('kharif', 0) for v in list(seasonal_precipitation_mm.values())) / max(len(seasonal_precipitation_mm), 1)))","Mean annual precipitation below the AER-20 lower bound of 1600 mm, or kharif seasonal precipitation in the latest year below 60% of the multi-year kharif mean, confirms a below-nor"
4f51b3171632641e,1,agriculture__water_scarcity__drought__017,sig_05,amplifies,monsoon_onset_date,monsoon_onset_date[-1] > monsoon_onset_date[0] + 10,"Monsoon onset in the latest year is more than 10 days later than the earliest recorded onset, indicating a delayed monsoon that shortens the effective kharif season."
548eb84eb76bceb3,1,agriculture__water_scarcity__groundwater_stress__001,sig_01,confirms,"soge_dev_percent, soge_class_name","soge_dev_percent > 70 or soge_class_name in ['Semi-critical', 'Critical', 'Over-exploited']","Block-level SOGE exceeds 70% or CGWB classifies the block as Semi-critical, Critical, or Over-exploited, indicating extraction pressure on the aquifer."
19c9998affacdb89,2,agriculture__water_scarcity__groundwater_stress__001,sig_02,confirms,"trend_annual_delta_g_mm, delta_g_mm",trend_annual_delta_g_mm < 0 and mean_annual_delta_g_mm < 0,"The linear trend in annual groundwater recharge (P - ET - Runoff) is negative and the multi-year mean is also negative, indicating chronic depletion rather than a single drought ye"
