card_id,note_excerpt,draft_note
agriculture__water_scarcity__groundwater_stress__004,Groundwater stress in arid alluvial aquifers should be confirmed by at least two primary signals: elevated SOGE classification (Critical/Over-exploited) and a sustained negative trend in annual delta_g. The alluvial aquifer context (sig_03),"Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m), sig_06 (borewell_density), sig_07 (groundwater_salinity). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent)"
agriculture__water_scarcity__groundwater_stress__005,"Groundwater stress in sub-humid semi-consolidated aquifers of AER-10 (Bundelkhand, Malwa) should be confirmed by at least two primary signals: elevated SOGE classification, chronic negative delta_g trend, or farmer-reported well deepening. ","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m), sig_06 (borewell_density), sig_07 (groundwater_salinity). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent)"
agriculture__water_scarcity__groundwater_stress__006,"Groundwater stress in coastal alluvial aquifers (AER-18) should be confirmed by at least two primary signals: elevated SOGE classification, chronic negative delta_g trend, or farmer-reported well deepening. The alluvial aquifer context dist","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m), sig_06 (borewell_density), sig_07 (groundwater_salinity). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent)"
agriculture__water_scarcity__groundwater_stress__007,"Groundwater stress in the Chhota Nagpur crystalline basement context should be confirmed by at least two of the three primary signals: elevated SOGE (sig_01), chronic negative delta_g trend (sig_02), or farmer-reported well deepening (sig_0","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent), sig_04 (nrega_swc_count). Follow-up variables for field "
agriculture__water_scarcity__groundwater_stress__008,"Groundwater stress in the crystalline basement aquifers of AER-11 (Eastern Plateau) should be confirmed by at least two of the three primary signals: elevated SOGE classification (sig_01), chronic negative delta_g trend (sig_02), or farmer-","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent), sig_04 (nrega_swc_count). Follow-up variables for field "
agriculture__water_scarcity__groundwater_stress__009,"Groundwater stress in alluvial aquifers of the eastern Indo-Gangetic Plain differs fundamentally from hard-rock peninsular contexts: depletion is gradual and cumulative rather than seasonal, and the high recharge potential of alluvium means","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m, borewell_density, gr"
agriculture__water_scarcity__groundwater_stress__010,Groundwater stress in humid alluvial plains (AER-15: Bengal and Assam Plains) presents differently from semi-arid hard rock contexts. High annual rainfall (1600–3000 mm) means that a negative groundwater balance is a strong signal of over-e,"Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m, borewell_density, gr"
agriculture__water_scarcity__groundwater_stress__011,"Groundwater stress in the sub-humid hilly terrain of AER-14 (Himachal Pradesh, Uttarakhand, Jammu division) should be confirmed by at least two of the three primary signals: elevated SOGE classification (sig_01), chronic negative delta_g tr","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent), sig_04 (nrega_swc_count). Follow-up variables for field "
agriculture__water_scarcity__groundwater_stress__012,"In the perhumid Eastern Himalayan hill states, groundwater stress is paradoxical — very high annual rainfall (2000–5000 mm) coexists with seasonal water scarcity because steep terrain drives rapid surface runoff, limiting infiltration into ","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (aquifer_class, aquifer_lithology_percent), sig_02 (soge_dev_percent, soge_class_name), sig_03 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m), sig_06 (borewell_density), sig_07 (groundwater_salinity). Amplifying signals (do not alone confirm)"
agriculture__water_scarcity__groundwater_stress__013,"Groundwater stress in the perhumid North-Eastern Hills is paradoxical given very high annual rainfall, and requires at least two confirming signals before diagnosis is finalised. The primary mechanism is not rainfall deficit but rather rapi","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent), sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m,"
agriculture__water_scarcity__groundwater_stress__014,"Groundwater stress in the volcanic hard-rock aquifers of Malwa and Gujarat should be confirmed by at least two primary signals: elevated SOGE classification, chronic negative delta_g trend, or farmer-reported well deepening. The volcanic aq","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m), sig_06 (borewell_density), sig_07 (groundwater_salinity). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent)"
agriculture__water_scarcity__groundwater_stress__015,Groundwater stress in humid and perhumid alluvial aquifer zones presents a diagnostic paradox: high annual rainfall coexists with seasonal water scarcity because monsoon runoff is rapid and dry-season recharge is negligible. Confirmation re,"Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m, borewell_density, gr"
agriculture__water_scarcity__groundwater_stress__016,"Groundwater stress in the cold arid Himalayan context (Ladakh, AER-1) is structurally different from peninsular hard rock depletion: the primary driver is not over-extraction per se but the combination of extremely low natural recharge (<15","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (aquifer_class, aquifer_lithology_percent), sig_02 (delta_g_mm, trend_annual_delta_g_mm), sig_03 (soge_dev_percent, soge_class_name), sig_05 (annual_well_depth_m), sig_06 (borewell_density), sig_07 (groundwater_salinity). Amplifying signals (do not alone confirm)"
agriculture__water_scarcity__groundwater_stress__017,"Groundwater stress in humid and perhumid island settings (AER-20) presents differently from mainland semi-arid contexts. Despite high annual rainfall (1600–3000 mm), the freshwater resource is structurally limited by small island area, thin","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_03 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (borewell_density), sig_06 (groundwater_salinity), sig_07 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_02 (aquifer_class, aquifer_lithology_percent)"
agriculture__water_scarcity__irrigation_challenges__001,"Irrigation infrastructure failure in semi-arid Deccan Plateau MWSs should be confirmed by at least two of the three primary signals: declining SWB area trend with low SWB count (sig_01), rapid post-monsoon drying of surface water bodies (si","Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_kharif_area_ha). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (river_name), sig_05 (dist_cooperative_km, well_depth_m). Follow-up variables for field evidence: annual_well_depth_m."
agriculture__water_scarcity__irrigation_challenges__002,"Irrigation infrastructure failure in semi-arid hard rock plateau contexts is confirmed when at least two of the primary signals align: declining SWB area trend (sig_01), rapid post-monsoon drying of water bodies (sig_02), and low MGNREGA in","Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_kharif_area_ha). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (river_name, dist_cooperative_km), sig_05 (annual_well_depth_m). Follow-up variables for field evidence: annual_well_depth_"
agriculture__water_scarcity__irrigation_challenges__003,"Irrigation infrastructure failure in the sub-humid alluvial plains is confirmed when at least two of the three primary signals are present: declining SWB area trend with low water body count (sig_01), rapid post-monsoon drying of water bodi","Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_kharif_area_ha). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (dist_cooperative_km). Follow-up variables for field evidence: annual_well_depth_m."
agriculture__water_scarcity__irrigation_challenges__005,"Irrigation infrastructure failure in sub-humid plateau contexts like Bundelkhand and Malwa is best confirmed by the convergence of declining SWB area trend, low rabi-to-kharif SWB persistence, and low MGNREGA SWC investment. A single signal","Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_kharif_area_ha), sig_06 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (river_name), sig_05 (dist_cooperative_km). Follow-up variables for field evidence: annual_we"
agriculture__water_scarcity__irrigation_challenges__007,Irrigation infrastructure failure in the Chhota Nagpur Plateau (AER-12) is primarily a surface water storage problem. The region receives 1200–1600 mm of rainfall but almost entirely in the kharif season; rabi and zaid irrigation depend on ,"Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_kharif_area_ha), sig_05 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (river_name, dist_cooperative_km). Follow-up variables for field evidence: annual_well_depth_"
agriculture__water_scarcity__irrigation_challenges__008,"Diagnosis of irrigation infrastructure failure in AER-11 sub-humid hard-rock plateau terrain should be anchored by at least two of the three primary signals: declining SWB area trend (sig_01), low rabi/kharif SWB ratio (sig_02), or very low","Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, trend_swb_total_area_ha), sig_02 (swb_kharif_area_ha, mean_swb_rabi_kharif_ratio), sig_04 (swb_count, dist_cooperative_km). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count). Follow-up variables for field evidence: annual_"
agriculture__water_scarcity__irrigation_challenges__009,Irrigation infrastructure failure in the alluvial eastern plains is most strongly confirmed when SWB area is declining (sig_01) and surface water bodies dry out rapidly after the monsoon (sig_02). These two signals together indicate that ex,"Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_kharif_area_ha). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (river_name, dist_cooperative_km), sig_05 (annual_well_depth_m). Follow-up variables for field evidence: annual_well_depth_"
agriculture__water_scarcity__irrigation_challenges__010,"In the humid alluvial plains of AER-15 (Bengal, Assam, eastern Bihar), irrigation challenges arise not from rainfall deficit but from the failure of surface storage infrastructure to carry water through the dry rabi and zaid seasons. Diagno","Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_kharif_area_ha). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (river_name, dist_cooperative_km). Follow-up variables for field evidence: annual_well_depth_m."
agriculture__water_scarcity__irrigation_challenges__011,"Diagnosis of irrigation infrastructure failure in sub-humid hilly terrain (AER-14) should be confirmed by at least two primary signals: declining SWB area trend (sig_01), rapid post-monsoon drying of water bodies (sig_02), or very low NREGA","Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_kharif_area_ha). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (river_name), sig_05 (dist_cooperative_km). Follow-up variables for field evidence: annual_well_depth_m."
agriculture__water_scarcity__irrigation_challenges__015,"In humid and perhumid coastal zones (AER-19: Kerala, Konkan, Goa), water scarcity for rabi and zaid crops is paradoxical given high annual rainfall (2000–5000 mm) but is explained by the concentration of rainfall in the June–September monso","Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_kharif_area_ha). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (river_name, dist_cooperative_km). Follow-up variables for field evidence: annual_well_depth_m."
agriculture__water_scarcity__irrigation_challenges__016,"In the cold arid Ladakh context (AER-1), irrigation water scarcity is primarily driven by the near-total absence of rainfall (< 150 mm/year) and dependence on glacial snowmelt and limited surface storage. The irrigation_challenges pathway i","Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_total_area_ha, swb_kharif_area_ha), sig_04 (river_name). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_05 (annual_well_depth_m). Follow-up variables for field evidence: annual_well_depth_m."
agriculture__water_scarcity__irrigation_challenges__017,"In humid to perhumid island contexts (AER-20), water scarcity through irrigation challenges is paradoxical given high annual rainfall (1600–3000 mm) but is explained by the mismatch between monsoon-concentrated precipitation and year-round ","Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_kharif_area_ha). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (dist_cooperative_km, river_name). Follow-up variables for field evidence: annual_well_depth_m."
agriculture__water_scarcity__rainfed_risk__001,"Diagnosis of rainfed risk should be confirmed by at least two of the three primary structural signals: dominance of single kharif cropping (sig_01), persistently low cropping intensity (sig_02), and absence of canal or MGNREGA irrigation in","Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha), sig_02 (cropping_intensity), sig_03 (canal_name, nrega_irrigation_count). Amplifying signals (do not alone confirm): sig_04 (runoff_mm, terrain_cluster_id). Follow-up variables for field evidence: irrigated_area_ha."
agriculture__water_scarcity__rainfed_risk__003,"Diagnosis of rainfed risk in the sub-humid northern plains (AER-9) should be confirmed by at least two of the three primary signals: high single-kharif area share (sig_01), low mean cropping intensity (sig_02), and absence of canal plus low","Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha), sig_02 (cropping_intensity), sig_03 (canal_name, nrega_irrigation_count). Amplifying signals (do not alone confirm): sig_04 (runoff_mm, terrain_cluster_id), sig_05 (swb_rabi_area_ha). Follow-up variables for field evidence:"
agriculture__water_scarcity__rainfed_risk__004,"Diagnosis of rainfed risk in arid and semi-arid alluvial plains (AER-2, AER-4) should be confirmed by at least two of the three primary structural signals: dominant single kharif land use ratio (sig_01), persistently low mean cropping inten","Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha), sig_02 (cropping_intensity), sig_03 (canal_name, nrega_irrigation_count). Amplifying signals (do not alone confirm): sig_04 (runoff_mm, terrain_cluster_id). Follow-up variables for field evidence: irrigated_area_ha."
agriculture__water_scarcity__rainfed_risk__006,"Diagnosis of rainfed risk in coastal sub-humid plains (AER-18) should be confirmed by at least two primary signals: dominant single-kharif cropping share (sig_01), persistently low cropping intensity (sig_02), and absence of surface water p","Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha), sig_02 (cropping_intensity), sig_03 (swb_rabi_area_ha, canal_name). Amplifying signals (do not alone confirm): sig_04 (runoff_mm, terrain_cluster_id), sig_05 (nrega_irrigation_count). Follow-up variables for field evidence:"
agriculture__water_scarcity__rainfed_risk__007,Diagnosis of rainfed risk in AER-12 (Chhota Nagpur Plateau and Eastern Ghats) should be confirmed by at least three of the five signals. The two primary structural signals are sig_01 (single-kharif dominance >75%) and sig_02 (mean cropping ,"Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha), sig_02 (cropping_intensity), sig_04 (canal_name, nrega_irrigation_count). Amplifying signals (do not alone confirm): sig_03 (runoff_mm, terrain_cluster_id). Follow-up variables for field evidence: irrigated_area_ha."
agriculture__water_scarcity__rainfed_risk__009,"Diagnosis of rainfed risk in the eastern Indo-Gangetic plains (AER-13) should be confirmed by at least two of the three primary signals: high single-kharif area ratio (sig_01), low mean cropping intensity (sig_02), and absence of canal plus","Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha), sig_02 (cropping_intensity), sig_03 (canal_name, nrega_irrigation_count). Amplifying signals (do not alone confirm): sig_04 (runoff_mm, terrain_cluster_id). Follow-up variables for field evidence: irrigated_area_ha."
agriculture__water_scarcity__rainfed_risk__010,"In the Bengal and Assam Plains (AER-15), paradoxically high rainfall (1600–3000 mm) does not preclude water scarcity for rabi and zaid crops or during intra-seasonal dry spells. The rainfed risk pathway is confirmed when structural absence ","Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha), sig_02 (cropping_intensity), sig_03 (canal_name, nrega_irrigation_count). Amplifying signals (do not alone confirm): sig_04 (runoff_mm, terrain_cluster_id). Follow-up variables for field evidence: irrigated_area_ha."
ntfp_forest_biodiversity__ntfp_decline__encroachment__001,Diagnosis of encroachment as the primary driver of NTFP decline should be confirmed by at least sig_01 (forest-to-farm conversion trend) plus one of sig_03 or sig_04. sig_02 (urbanization) alone is insufficient to confirm encroachment but s,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_03 (village_st_percent), sig_04 (cd_forest_to_farm_ha, village_st_percent). Required: sig_01 (cd_forest_to_farm_ha) must be TRUE. Additionally require at least one group: sig_03 (village_st_percent); OR sig_04 (cd_forest_to_farm_ha, village_"
