fingerprint,card_count,example_card_id,primary_signals,min_confirms_true,note_excerpt,draft_note,policy_json
cfdb4872c26015a8,4,socio_economic__economic_hardship__multi_sector_vulnerability__004,"sig_01,sig_03,sig_04",3,"Economic hardship in arid and semi-arid alluvial zones of Rajasthan, Kachchh, and Haryana is best confirmed when at least three of the four signals are active: high SC/ST share (sig_01), low literacy (sig_02), remote banking (sig_03), and co-occurrence of severe drought with low MGNREGA coverage (si","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent), sig_03 (dist_bank_km), sig_04 (drought_weeks_severe, nrega_swc_count). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate). Follow-up variables for field evidence: migrant_household_percent, household_income_inr.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 3, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 3}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 3}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
875f82e72b1dc971,2,agriculture__water_scarcity__groundwater_stress__012,"sig_01,sig_02,sig_03,sig_05,sig_06,sig_07",2,"In the perhumid Eastern Himalayan hill states, groundwater stress is paradoxical — very high annual rainfall (2000–5000 mm) coexists with seasonal water scarcity because steep terrain drives rapid surface runoff, limiting infiltration into fractured hard-rock aquifers with very low storativity. Diag","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (aquifer_class, aquifer_lithology_percent), sig_02 (soge_dev_percent, soge_class_name), sig_03 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m), sig_06 (borewell_density), sig_07 (groundwater_salinity). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m, borewell_density, groundwater_salinity.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
5d3fe22f2d4e4543,2,agriculture__water_scarcity__groundwater_stress__017,"sig_01,sig_03,sig_05,sig_06,sig_07",2,"Groundwater stress in humid and perhumid island settings (AER-20) presents differently from mainland semi-arid contexts. Despite high annual rainfall (1600–3000 mm), the freshwater resource is structurally limited by small island area, thin freshwater lenses overlying saline groundwater, and low-sto","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_03 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (borewell_density), sig_06 (groundwater_salinity), sig_07 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_02 (aquifer_class, aquifer_lithology_percent), sig_04 (nrega_swc_count). Follow-up variables for field evidence: groundwater_salinity, borewell_density, annual_well_depth_m.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
973cbb6e940e3481,2,ntfp_forest_biodiversity__ntfp_decline__encroachment__005,"sig_01,sig_04",1,"Diagnosis of encroachment as the driver of NTFP decline in AER-10 (Malwa, Bundelkhand) should be anchored on measurable forest-to-farm conversion (sig_01) as the primary confirmatory signal. High ST population share (sig_03) contextualizes the livelihood impact but does not confirm encroachment on i","Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least one of the primary signals is TRUE: sig_01 (cd_forest_to_farm_ha), sig_04 (cd_forest_to_farm_ha, village_st_percent). Amplifying signals (do not alone confirm): sig_02 (cd_urbanization_ha). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualitative.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
b363c5e0165bc41d,2,socio_economic__economic_hardship__multi_sector_vulnerability__010,"sig_01,sig_03,sig_05",3,"Diagnosis of multi-sector vulnerability as the causal pathway for economic hardship requires co-occurrence of at least three signals: a structural exclusion signal (sig_01 or sig_02), a financial access barrier (sig_03), and either a safety net gap (sig_04) or a recurrent shock indicator (sig_05). A","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent), sig_03 (dist_bank_km), sig_05 (drought_weeks_severe). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate), sig_04 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_percent, household_income_inr.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 3, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_05""], ""min"": 3}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_05""], ""min"": 3}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
64dcf71a7b8b4f0f,2,socio_economic__low_income__small_landholding__007,"sig_01,sig_02,sig_05,sig_07",2,,"Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_02 (mean_cropping_intensity, cropping_intensity), sig_05 (household_income_inr), sig_07 (landholding_size_distribution). Amplifying signals (do not alone confirm): sig_03 (dist_apmc_km, dist_dairy_km), sig_04 (organization_domains, nrega_community_assets_count), sig_06 (market_price_crop). Follow-up variables for field evidence: landholding_size_distribution, household_income_inr, market_price_crop.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_07""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_07""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_07""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
ecb07d332cf55d7d,1,agriculture__water_scarcity__drought__014,"sig_01,sig_05,sig_02,sig_03",2,"Diagnosis of the drought pathway in AER-5 semi-arid hard rock terrain requires confirmation from at least two independent signals: (1) a direct drought intensity measure (sig_01: severe/moderate drought weeks, or sig_05: SPI+VCI composite), and (2) a rainfall deficit measure (sig_02: dry spell weeks","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_05 (drought_causality), sig_02 (dry_spell_weeks), sig_03 (precipitation_mm, seasonal_precipitation_mm). Amplifying signals (do not alone confirm): sig_04 (monsoon_onset_date).","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_05"", ""sig_02"", ""sig_03""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_05"", ""sig_02"", ""sig_03""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_05"", ""sig_02"", ""sig_03""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
bb9ce3ccd9457ea0,1,agriculture__water_scarcity__irrigation_challenges__005,"sig_01,sig_02,sig_06",2,"Irrigation infrastructure failure in sub-humid plateau contexts like Bundelkhand and Malwa is best confirmed by the convergence of declining SWB area trend, low rabi-to-kharif SWB persistence, and low MGNREGA SWC investment. A single signal may reflect data noise or spatial mismatch. The absence of ","Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_kharif_area_ha), sig_06 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (river_name), sig_05 (dist_cooperative_km). Follow-up variables for field evidence: annual_well_depth_m.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_06""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_06""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_06""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
15fc2a3d3a2cd24d,1,agriculture__water_scarcity__irrigation_challenges__014,"sig_01,sig_02,sig_05,sig_06",2,,"Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, swb_count), sig_02 (swb_kharif_area_ha), sig_05 (annual_well_depth_m), sig_06 (tank_siltation_status). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (dist_cooperative_km). Follow-up variables for field evidence: annual_well_depth_m, tank_siltation_status.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_06""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_06""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_06""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
17360cefb9c81426,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__001,"sig_01,sig_03,sig_04",2,Diagnosis of encroachment as the primary driver of NTFP decline should be confirmed by at least sig_01 (forest-to-farm conversion trend) plus one of sig_03 or sig_04. sig_02 (urbanization) alone is insufficient to confirm encroachment but strengthens the case when sig_01 is also positive. In semi-ar,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_03 (village_st_percent), sig_04 (cd_forest_to_farm_ha, village_st_percent). Required: sig_01 (cd_forest_to_farm_ha) must be TRUE. Additionally require at least one group: sig_03 (village_st_percent); OR sig_04 (cd_forest_to_farm_ha, village_st_percent). Amplifying signals (do not alone confirm): sig_02 (cd_urbanization_ha). Follow-up variables for field evidence: fra_claims_filed_count, forest_patch_connectivity.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 2, ""required_all"": [""sig_01""], ""required_any"": [[""sig_03""], [""sig_04""]], ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
fc67fc268897daf1,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__010,"sig_01,sig_04",1,Diagnosis of encroachment as the primary driver of NTFP decline should be anchored on sig_01 (forest-to-farm conversion trend) as the core confirmatory signal. Sig_02 (urbanization expansion) and sig_03 (high ST population) serve as amplifying and contextualising signals. The composite sig_04 is the,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least one of the primary signals is TRUE: sig_01 (cd_forest_to_farm_ha), sig_04 (cd_forest_to_farm_ha, village_st_percent). Additionally require at least one group: sig_01 (cd_forest_to_farm_ha); OR sig_04 (cd_forest_to_farm_ha, village_st_percent). Amplifying signals (do not alone confirm): sig_03 (village_st_percent). Follow-up variables for field evidence: fra_claims_filed_count, forest_boundary_demarcation_status.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 1, ""required_any"": [[""sig_01""], [""sig_04""]], ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_04""], ""min"": 2}}, {""level"": ""high"", ""min_from_set"": {""signals"": [""sig_04""], ""min"": 1}, ""min_high_severity_confirms"": 1}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
bbb534422d76f1f3,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__014,"sig_01,sig_03,sig_05,sig_06",2,,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_03 (village_st_percent), sig_05 (fra_claims_filed_count), sig_06 (ntfp_collection_trend_qualitative). Amplifying signals (do not alone confirm): sig_02 (cd_urbanization_ha), sig_04 (village_st_percent). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualitative.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_05"", ""sig_06""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_05"", ""sig_06""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_05"", ""sig_06""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
