card_id,severity,code,detail
socio_economic__economic_hardship__multi_sector_vulnerability__002,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__002,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__003,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__003,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__003,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__004,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__004,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__004,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__005,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__005,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__005,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__006,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__006,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__006,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__007,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__007,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__007,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__008,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__008,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__008,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__009,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__009,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__009,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__010,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__010,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__010,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__011,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__011,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__011,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__012,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__012,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__012,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__013,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__013,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__013,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__014,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__014,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__014,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__015,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__015,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__015,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__016,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__016,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__016,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__017,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__017,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__017,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__001,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__002,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__003,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__004,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__005,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__006,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__007,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__008,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__009,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__010,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__011,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__012,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__013,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__014,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__015,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__016,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__017,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
