fingerprint,card_count,example_card_id,primary_signals,min_confirms_true,note_excerpt,draft_note,policy_json,comment,fingerprint
cfdb4872c26015a8,4,socio_economic__economic_hardship__multi_sector_vulnerability__004,"sig_01,sig_03,sig_04",3,"Economic hardship in arid and semi-arid alluvial zones of Rajasthan, Kachchh, and Haryana is best confirmed when at least three of the four signals are active: high SC/ST share (sig_01), low literacy (sig_02), remote banking (sig_03), and co-occurrence of severe drought with low MGNREGA coverage (si","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent), sig_03 (dist_bank_km), sig_04 (drought_weeks_severe, nrega_swc_count). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate). Follow-up variables for field evidence: migrant_household_percent, household_income_inr.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 3, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 3}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 3}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,cfdb4872c26015a8
f6ed3f98aa2dd75e,3,agriculture__water_scarcity__irrigation_challenges__004,"sig_01,sig_02",1,,"Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when sig_01 (swb_total_area_ha, swb_count) is TRUE. Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (dist_cooperative_km, river_name), sig_05 (annual_well_depth_m). Follow-up variables for field evidence: annual_well_depth_m.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}","Autogen mismatch, Expression error",f6ed3f98aa2dd75e
5e7b2cca017d1bdb,3,agriculture__water_scarcity__rainfed_risk__008,"sig_01,sig_02,sig_04,sig_05,sig_06",1,,"Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha) is TRUE. Amplifying signals (do not alone confirm): sig_03 (runoff_mm, terrain_cluster_id). Follow-up variables for field evidence: irrigated_area_ha.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05"", ""sig_06""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}","Autogen mismatch, Expression error",5e7b2cca017d1bdb
6803055bd44bd95e,3,agriculture__water_scarcity__rainfed_risk__011,"sig_01,sig_02,sig_03,sig_05,sig_06",1,,"Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha) is TRUE. Amplifying signals (do not alone confirm): sig_04 (runoff_mm, terrain_cluster_id). Follow-up variables for field evidence: irrigated_area_ha.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05"", ""sig_06""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",Expression error,6803055bd44bd95e
6078765eee9d5c67,3,agriculture__water_scarcity__rainfed_risk__012,"sig_01,sig_02,sig_04,sig_05",1,,"Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha) is TRUE. Amplifying signals (do not alone confirm): sig_03 (runoff_mm, terrain_cluster_id). Follow-up variables for field evidence: irrigated_area_ha.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",Expression error,6078765eee9d5c67
6b4cc36f5057475d,2,agriculture__water_scarcity__groundwater_stress__003,sig_03,2,"Groundwater stress in Indo-Gangetic alluvial aquifers should be confirmed by at least two of the three primary signals: elevated SOGE (>90% or Critical/Over-exploited classification), chronic negative delta_g trend, and farmer-reported borewell deepening. Unlike hard-rock peninsular aquifers, alluvi","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_03 (aquifer_class, aquifer_lithology_percent). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m, borewell_density, groundwater_salinity.","{""version"": 1, ""primary_confirm_signals"": [""sig_03""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}","Missing signals, Expression error",6b4cc36f5057475d
875f82e72b1dc971,2,agriculture__water_scarcity__groundwater_stress__012,"sig_01,sig_02,sig_03,sig_05,sig_06,sig_07",2,"In the perhumid Eastern Himalayan hill states, groundwater stress is paradoxical — very high annual rainfall (2000–5000 mm) coexists with seasonal water scarcity because steep terrain drives rapid surface runoff, limiting infiltration into fractured hard-rock aquifers with very low storativity. Diag","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (aquifer_class, aquifer_lithology_percent), sig_02 (soge_dev_percent, soge_class_name), sig_03 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m), sig_06 (borewell_density), sig_07 (groundwater_salinity). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m, borewell_density, groundwater_salinity.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,875f82e72b1dc971
045266b712bf5319,2,agriculture__water_scarcity__irrigation_challenges__012,"sig_01,sig_02,sig_05",1,,"Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when sig_01 (swb_total_area_ha, swb_count) is TRUE. Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (river_name, dist_cooperative_km). Follow-up variables for field evidence: annual_well_depth_m.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}","Autogen has mismatch, expression error",045266b712bf5319
1893d4cba2de282a,2,ntfp_forest_biodiversity__ntfp_decline__encroachment__004,"sig_01,sig_02,sig_04",1,Diagnosis of encroachment-driven NTFP decline in arid and semi-arid zones should be anchored by sig_01 (forest-to-farm conversion trend) as the primary confirmatory signal. Sig_02 (urbanization expansion) and sig_04 (composite dual pressure) provide corroborating evidence of multi-vector land use ch,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when sig_01 (cd_forest_to_farm_ha) is TRUE. Amplifying signals (do not alone confirm): sig_03 (village_st_percent). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualitative.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}","Autogen has mismatch, expression error",1893d4cba2de282a
973cbb6e940e3481,2,ntfp_forest_biodiversity__ntfp_decline__encroachment__005,"sig_01,sig_04",1,"Diagnosis of encroachment as the driver of NTFP decline in AER-10 (Malwa, Bundelkhand) should be anchored on measurable forest-to-farm conversion (sig_01) as the primary confirmatory signal. High ST population share (sig_03) contextualizes the livelihood impact but does not confirm encroachment on i","Pathway encroachment confirmation policy (auto-generated summary). Confirm when sig_01 (cd_forest_to_farm_ha) is TRUE. Amplifying signals (do not alone confirm): sig_02 (cd_urbanization_ha). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualitative.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,973cbb6e940e3481
e8dc01684602bd98,2,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__003,sig_05,2,"Diagnosis of NTFP decline via forest degradation in AER-9 plains should be confirmed by at least two of the three primary remote sensing signals: declining lulc_tree_forest_ha trend, net deforestation exceeding afforestation, or cumulative deforestation above 50 ha. The absence of NTFP/agroforestry ","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_05 (ntfp_species_presence). Amplifying signals (do not alone confirm): sig_04 (organization_domains), sig_06 (forest_patch_connectivity). Follow-up variables for field evidence: ntfp_species_presence, forest_patch_connectivity.","{""version"": 1, ""primary_confirm_signals"": [""sig_05""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",Expression error,e8dc01684602bd98
b363c5e0165bc41d,2,socio_economic__economic_hardship__multi_sector_vulnerability__010,"sig_01,sig_03,sig_05",3,"Diagnosis of multi-sector vulnerability as the causal pathway for economic hardship requires co-occurrence of at least three signals: a structural exclusion signal (sig_01 or sig_02), a financial access barrier (sig_03), and either a safety net gap (sig_04) or a recurrent shock indicator (sig_05). A","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent), sig_03 (dist_bank_km), sig_05 (drought_weeks_severe). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate), sig_04 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_percent, household_income_inr.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 3, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_05""], ""min"": 3}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_05""], ""min"": 3}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,b363c5e0165bc41d
165dde27b2d7007e,2,socio_economic__low_income__small_landholding__007,"sig_01,sig_02,sig_05,sig_07",1,,"Pathway small_landholding confirmation policy (auto-generated summary). Confirm when sig_01 (lulc_cropland_ha, village_total_population) is TRUE. Amplifying signals (do not alone confirm): sig_03 (dist_apmc_km, dist_dairy_km), sig_04 (organization_domains, nrega_community_assets_count), sig_06 (market_price_crop). Follow-up variables for field evidence: landholding_size_distribution, household_income_inr, market_price_crop.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_07""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}","Autogen has mismatch, expression error",165dde27b2d7007e
514cea203f3ea5b0,1,agriculture__water_scarcity__drought__002,sig_04,2,"Meteorological and agricultural drought in semi-arid hard rock plateau settings should be confirmed by at least two primary signals: elevated drought_weeks_severe or dry_spell_weeks, and a composite drought_causality_json showing co-occurring SPI deficit with low MAI or VCI. A single signal may refl","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_04 (seasonal_precipitation_mm, precipitation_mm). Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date).","{""version"": 1, ""primary_confirm_signals"": [""sig_04""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",Expression error,514cea203f3ea5b0
ecb07d332cf55d7d,1,agriculture__water_scarcity__drought__014,"sig_01,sig_05,sig_02,sig_03",2,"Diagnosis of the drought pathway in AER-5 semi-arid hard rock terrain requires confirmation from at least two independent signals: (1) a direct drought intensity measure (sig_01: severe/moderate drought weeks, or sig_05: SPI+VCI composite), and (2) a rainfall deficit measure (sig_02: dry spell weeks","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_05 (drought_causality), sig_02 (dry_spell_weeks), sig_03 (precipitation_mm, seasonal_precipitation_mm). Amplifying signals (do not alone confirm): sig_04 (monsoon_onset_date).","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_05"", ""sig_02"", ""sig_03""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_05"", ""sig_02"", ""sig_03""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_05"", ""sig_02"", ""sig_03""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,ecb07d332cf55d7d
